REP AVG STDV    MIN MAX GRAPH   ORDER   SIZE    AG
100	0.10789	0.00257	0.10447	0.11323	   Digraph	135	180	      bell	
100	0.00020	0.00001	0.00018	0.00027	   Digraph	135	180	     fbell	
100	0.00253	0.00068	0.00229	0.00735	   Digraph	135	180	      dijk	
100	0.10952	0.00279	0.10532	0.11789	   Digraph	136	180	      bell	
100	0.00025	0.00044	0.00019	0.00464	   Digraph	136	180	     fbell	
100	0.00257	0.00068	0.00230	0.00730	   Digraph	136	180	      dijk	
100	0.10894	0.00233	0.10653	0.11381	   Digraph	137	180	      bell	
100	0.00047	0.00044	0.00040	0.00488	   Digraph	137	180	     fbell	
100	0.00329	0.00079	0.00298	0.00779	   Digraph	137	180	      dijk	
100	0.09205	0.19121	-1.81023	0.11996	   Digraph	138	180	      bell	
100	0.00020	0.00001	0.00019	0.00027	   Digraph	138	180	     fbell	
100	0.00255	0.00077	0.00226	0.00693	   Digraph	138	180	      dijk	
100	0.11186	0.00256	0.10813	0.11837	   Digraph	139	180	      bell	
100	0.00020	0.00001	0.00019	0.00026	   Digraph	139	180	     fbell	
100	0.00256	0.00063	0.00232	0.00693	   Digraph	139	180	      dijk	
100	0.11391	0.00384	0.10930	0.12719	   Digraph	140	180	      bell	
100	0.00049	0.00046	0.00041	0.00509	   Digraph	140	180	     fbell	
100	0.00329	0.00083	0.00297	0.00807	   Digraph	140	180	      dijk	
100	0.11378	0.00281	0.10918	0.12380	   Digraph	141	180	      bell	
100	0.00049	0.00001	0.00047	0.00054	   Digraph	141	180	     fbell	
100	0.00358	0.00064	0.00330	0.00797	   Digraph	141	180	      dijk	
