0.00124	   Digraph	005	012	   bellman	
0.00128	   Digraph	005	012	   bellman	
0.00130	   Digraph	005	012	   bellman	
0.00130	   Digraph	005	012	   bellman	
0.00131	   Digraph	005	012	   bellman	
0.00131	   Digraph	005	012	   bellman	
0.00584	   Digraph	005	012	   bellman	
0.00120	   Digraph	005	012	   bellman	
0.00129	   Digraph	005	012	   bellman	
0.00123	   Digraph	005	012	   bellman	
0.00122	   Digraph	005	012	   bellman	
0.00125	   Digraph	005	012	   bellman	
0.00122	   Digraph	005	012	   bellman	
0.00130	   Digraph	005	012	   bellman	
0.00130	   Digraph	005	012	   bellman	
0.00128	   Digraph	005	012	   bellman	
0.00122	   Digraph	005	012	   bellman	
0.00118	   Digraph	005	012	   bellman	
0.00122	   Digraph	005	012	   bellman	
0.00119	   Digraph	005	012	   bellman	
0.00122	   Digraph	005	012	   bellman	
0.00122	   Digraph	005	012	   bellman	
0.00125	   Digraph	005	012	   bellman	
0.00120	   Digraph	005	012	   bellman	
0.00663	   Digraph	005	012	   bellman	
0.00244	   Digraph	005	012	   bellman	
0.00227	   Digraph	005	012	   bellman	
0.00208	   Digraph	005	012	   bellman	
0.00228	   Digraph	005	012	   bellman	
0.00231	   Digraph	005	012	   bellman	
0.00229	   Digraph	005	012	   bellman	
0.00229	   Digraph	005	012	   bellman	
0.00230	   Digraph	005	012	   bellman	
0.00166	   Digraph	005	012	   bellman	
